type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,193.2,103.4,74.4,115.0,125.6,180.1,206.1,221.5,232.6,246.4,264.5,294.9,399.2,1336.7,4794.9,29916.3,30000,1747227763163,1747227773289
read,197.2,157.2,68.9,115.2,125.0,177.9,203.7,219.0,230.4,244.2,262.6,292.2,481.0,2452.1,5012.0,30004.9,30005,1747227774799,1747227784914
read,191.9,132.6,74.4,114.8,124.3,176.4,201.4,216.5,227.7,240.3,256.6,284.7,394.2,2035.2,4851.0,30051.1,30010,1747227786423,1747227796519
read,187.8,97.1,74.4,116.0,125.0,175.6,200.3,215.3,226.5,239.3,255.6,282.1,359.0,1270.7,3191.0,30012.0,30015,1747227798030,1747227808126
read,185.2,92.6,74.4,114.3,123.5,173.9,198.0,212.3,222.7,234.7,251.3,276.3,358.6,1214.9,3071.5,30064.5,30020,1747227809635,1747227819732
read,186.6,123.6,74.4,113.9,122.8,173.1,197.3,211.8,222.3,234.3,250.6,274.8,365.8,1840.5,5703.5,30036.7,30025,1747227821242,1747227831337
read,186.3,111.6,74.4,113.1,122.0,173.5,198.2,213.1,224.0,236.0,252.8,279.3,365.3,1681.2,4858.5,29952.2,30030,1747227832847,1747227842943
read,184.3,85.5,80.4,114.6,123.5,173.2,197.2,211.5,221.9,234.0,250.6,274.9,356.6,1105.6,2591.5,30000.3,30035,1747227844453,1747227854549
read,184.8,99.6,74.4,112.2,121.0,173.1,197.8,212.2,222.7,234.5,251.3,276.3,356.1,1567.8,3101.4,30101.8,30040,1747227856058,1747227866155
read,188.4,100.6,80.4,114.8,124.0,175.9,201.7,217.5,229.1,242.5,259.3,286.1,359.0,1239.7,4329.8,30112.1,30045,1747227867665,1747227877770
read,197.4,138.8,74.4,115.6,125.8,180.0,206.6,221.9,232.9,246.6,264.7,295.7,442.2,2048.8,4996.6,30063.8,30050,1747227879281,1747227889378
read,185.5,68.8,74.4,114.7,125.4,177.9,201.1,214.8,224.7,235.4,250.8,274.0,343.5,600.3,2987.1,30025.5,30055,1747227890887,1747227900985
read,185.9,75.0,74.4,114.4,125.1,178.3,202.4,216.3,226.5,237.6,252.6,274.5,340.5,466.7,2564.2,30042.5,30060,1747227902495,1747227912592
read,184.4,67.5,68.9,114.1,124.6,176.9,200.4,214.1,223.9,234.6,249.9,273.0,337.4,579.3,2683.5,29986.7,30065,1747227914102,1747227924198
read,183.2,67.2,74.4,113.7,123.9,175.5,198.8,212.5,222.3,233.4,248.6,272.0,339.0,558.3,2198.3,30100.9,30070,1747227925707,1747227935804
